flight_date,origin_state,phase_of_flight,wildlife_size,wildlife_species,time_of_day,cost_other,cost_repair,cost_total,speed_ias_in_knots
1990-01-08,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300.0
1990-01-09,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
1990-01-11,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
1990-01-11,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140.0
1990-01-12,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
1990-02-02,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180.0
1990-02-06,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
1990-02-22,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190.0
1990-03-01,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
1990-03-02,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130.0
1990-03-03,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180.0
1990-03-08,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
1990-03-09,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
1990-03-09,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190.0
1990-03-09,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150.0
1990-03-13,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250.0
1990-03-19,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150.0
1990-03-22,Missouri,Climb,Small,European starling,Day,0,0,0,160.0
1990-04-04,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135.0
1990-04-07,New York,Take-off run,Large,Canada goose,Day,0,0,0,140.0
1990-04-07,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120.0
1990-04-09,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210.0
1990-04-15,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
1990-04-16,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150.0
1990-04-18,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140.0
1990-04-19,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180.0
1990-04-19,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140.0
1990-04-19,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235.0
1990-04-20,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105.0
1990-04-23,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190.0
1990-04-23,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160.0
1990-04-24,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200.0
1990-04-25,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
1990-04-25,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170.0
1990-04-26,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0
1990-04-27,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230.0
1990-04-27,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-04-28,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127.0
1990-04-29,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-04-30,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
1990-05-01,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120.0
1990-05-01,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124.0
1990-05-02,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
1990-05-03,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0
1990-05-05,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260.0
1990-05-05,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
1990-05-05,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
1990-05-07,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0
1990-05-07,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240.0
1990-05-08,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
