income,health,population,region
1925,57.63,32526562,south_asia
10620,76.0,2896679,europe_central_asia
13434,76.5,39666519,middle_east_north_africa
46577,84.1,70473,europe_central_asia
7615,61.0,25021974,sub_saharan_africa
21049,75.2,91818,america
17344,76.2,43416755,america
7763,74.4,3017712,europe_central_asia
44056,81.8,23968973,east_asia_pacific
44401,81.0,8544586,europe_central_asia
16986,72.9,9753968,europe_central_asia
22818,72.3,388019,america
44138,79.2,1377237,middle_east_north_africa
3161,70.1,160995642,south_asia
12984,75.8,284215,america
17415,70.4,9495826,europe_central_asia
41240,80.4,11299192,europe_central_asia
8501,70.0,359287,america
1830,65.5,10879829,sub_saharan_africa
7983,70.2,774830,south_asia
6295,72.3,10724705,america
9833,77.9,3810416,europe_central_asia
17196,66.4,2262485,sub_saharan_africa
15441,75.6,207847528,america
73003,78.7,423188,east_asia_pacific
16371,74.9,7149787,europe_central_asia
1654,62.8,18105570,sub_saharan_africa
777,60.4,11178921,sub_saharan_africa
3267,68.4,15577899,east_asia_pacific
2897,59.5,23344179,sub_saharan_africa
43294,81.7,35939927,america
6514,74.6,520502,sub_saharan_africa
599,53.8,4900274,sub_saharan_africa
2191,57.7,14037472,sub_saharan_africa
22465,79.3,17948141,america
13334,76.9,1376048943,east_asia_pacific
12761,75.8,48228704,america
1472,64.1,788474,sub_saharan_africa
809,58.3,77266814,sub_saharan_africa
6220,61.9,4620330,sub_saharan_africa
14132,80.0,4807850,america
3491,60.33,22701556,sub_saharan_africa
20260,78.0,4240317,europe_central_asia
21291,78.5,11389562,america
29797,82.6,1165300,europe_central_asia
29437,78.6,10543186,europe_central_asia
43495,80.1,5669081,europe_central_asia
3139,64.63,887861,middle_east_north_africa
10503,74.6,72680,america
12837,73.8,10528391,america
10996,75.2,16144363,america
11031,71.3,91508084,middle_east_north_africa
7776,74.1,6126583,america
31087,60.63,845060,sub_saharan_africa
1129,62.9,5227791,sub_saharan_africa
26812,76.8,1312558,europe_central_asia
1520,63.6,99390750,sub_saharan_africa
7925,66.3,892145,east_asia_pacific
38923,80.8,5503457,europe_central_asia
37599,81.9,64395345,europe_central_asia
18627,60.53,1725292,sub_saharan_africa
1644,65.1,1990924,sub_saharan_africa
7474,73.3,3999812,europe_central_asia
44053,81.1,80688545,europe_central_asia
4099,65.5,27409893,sub_saharan_africa
25430,79.8,10954617,europe_central_asia
11593,71.7,106825,america
7279,73.1,16342897,america
1225,60.8,12608590,sub_saharan_africa
1386,53.4,1844325,sub_saharan_africa
6816,64.4,767085,america
1710,65.3,10711067,america
4270,72.4,8075060,america
24200,76.2,9855023,europe_central_asia
42182,82.8,329425,europe_central_asia
5903,66.8,1311050527,south_asia
10504,70.9,257563815,east_asia_pacific
15573,78.5,79109272,middle_east_north_africa
14646,72.1,36423395,middle_east_north_africa
47758,80.4,4688465,europe_central_asia
31590,82.4,8064036,middle_east_north_africa
33297,82.1,59797685,europe_central_asia
8606,75.5,2793335,america
36162,83.5,126573481,east_asia_pacific
11752,78.3,7594547,middle_east_north_africa
23468,68.2,17625226,europe_central_asia
2898,66.63,46050302,sub_saharan_africa
1824,62.4,112423,east_asia_pacific
82633,80.7,3892115,middle_east_north_africa
3245,69.0,5939962,europe_central_asia
5212,66.4,6802023,east_asia_pacific
23282,75.7,1970503,europe_central_asia
17050,78.5,5850743,middle_east_north_africa
2598,48.5,2135022,sub_saharan_africa
958,63.9,4503438,sub_saharan_africa
17261,76.2,6278438,middle_east_north_africa
26665,75.4,2878405,europe_central_asia
88314,81.1,567110,europe_central_asia
12547,77.0,2078453,europe_central_asia
1400,64.7,24235390,sub_saharan_africa
799,60.22,17215232,sub_saharan_africa
24320,75.1,30331007,east_asia_pacific
14408,79.5,363657,south_asia
1684,57.6,17599694,sub_saharan_africa
30265,82.1,418670,europe_central_asia
3661,65.1,52993,east_asia_pacific
3877,65.7,4067564,sub_saharan_africa
18350,73.9,1273212,sub_saharan_africa
16850,74.5,127017224,america
3510,67.0,104460,east_asia_pacific
4896,72.7,4068897,europe_central_asia
11819,65.3,2959134,east_asia_pacific
14833,75.8,625781,europe_central_asia
7319,74.7,34377511,middle_east_north_africa
1176,56.4,27977863,sub_saharan_africa
4012,67.9,53897154,east_asia_pacific
10040,61.0,2458830,sub_saharan_africa
2352,71.2,28513700,south_asia
45784,80.6,16924929,europe_central_asia
34186,80.6,4528526,east_asia_pacific
4712,76.8,6082032,america
943,62.2,19899120,sub_saharan_africa
5727,61.33,182201962,sub_saharan_africa
1390,71.4,25155317,east_asia_pacific
64304,81.6,5210967,europe_central_asia
48226,75.7,4490541,middle_east_north_africa
4743,66.5,188924874,south_asia
20485,78.2,3929141,america
2529,60.6,7619321,east_asia_pacific
8219,73.9,6639123,america
11903,77.5,31376670,america
6876,70.2,100699395,east_asia_pacific
24787,77.3,38611794,europe_central_asia
26437,79.8,10349803,europe_central_asia
132877,82.0,2235355,middle_east_north_africa
19203,76.8,19511324,europe_central_asia
23038,73.13,143456918,europe_central_asia
1549,66.53,11609666,sub_saharan_africa
5558,72.2,193228,east_asia_pacific
3003,68.8,190344,sub_saharan_africa
52469,78.1,31540372,middle_east_north_africa
2251,66.1,15129273,sub_saharan_africa
12908,78.1,8850975,europe_central_asia
25684,73.7,96471,sub_saharan_africa
2085,58.5,6453184,sub_saharan_africa
80794,82.1,5603740,east_asia_pacific
27204,76.4,5426258,europe_central_asia
28550,80.2,2067526,europe_central_asia
2047,64.1,583591,east_asia_pacific
