us_gross,worldwide_gross,production_budget,release_date,distributor,source,major_genre,rotten_tomatoes_rating,imdb_rating,imdb_votes
146083.0,146083.0,8000000.0,Jun 12 1998,Gramercy,Original Screenplay,Drama,55.0,6.1,1071.0
10876.0,10876.0,300000.0,Aug 07 1998,Strand,Original Screenplay,Drama,55.0,6.9,207.0
203134.0,203134.0,250000.0,Aug 28 1998,Lionsgate,Original Screenplay,Comedy,55.0,6.8,865.0
373615.0,373615.0,300000.0,Sep 11 1998,Fine Line,Original Screenplay,Comedy,13.0,6.4,15106.0
1009819.0,1087521.0,1000000.0,Oct 09 1998,Trimark,Original Screenplay,Drama,62.0,3.4,165.0
24551.0,2624551.0,1600000.0,Jan 15 1999,MGM,Original Screenplay,Drama,55.0,6.4,15106.0
44705.0,44705.0,6000.0,Apr 04 1999,Zeitgeist,Original Screenplay,Drama,55.0,7.7,15133.0
6026908.0,6026908.0,1600000.0,Apr 09 1999,Artisan,Original Screenplay,Comedy,55.0,3.8,353.0
1641825.0,6341825.0,40000000.0,Jul 01 1986,Warner Bros.,Original Screenplay,Drama,25.0,5.8,3275.0
20400000.0,20400000.0,6000000.0,Dec 31 2046,Warner Bros.,Original Screenplay,Drama,86.0,7.0,2906.0
37600000.0,37600000.0,1000000.0,Oct 07 1963,Warner Bros.,Original Screenplay,Drama,81.0,7.0,4035.0
37402877.0,37402877.0,10000000.0,Dec 11 1968,Sony Pictures,Original Screenplay,Musical,84.0,7.5,9111.0
13129846.0,13129846.0,2000000.0,Dec 25 1962,Universal,Original Screenplay,Drama,97.0,8.4,82786.0
29548291.0,29548291.0,25000000.0,Sep 23 1970,Warner Bros.,Original Screenplay,Drama,55.0,6.4,15106.0
5228617.0,5228617.0,100000.0,Mar 01 1987,Warner Bros.,Original Screenplay,Drama,87.0,6.8,1532.0
3000000.0,3000000.0,100000.0,Sep 17 2020,Warner Bros.,Original Screenplay,Drama,55.0,6.4,15106.0
2000000.0,2000000.0,5200000.0,Aug 01 2044,Warner Bros.,Original Screenplay,Drama,55.0,7.0,451.0
5000000.0,5000000.0,22000000.0,Jan 01 1970,Warner Bros.,Original Screenplay,Drama,55.0,6.1,858.0
80000000.0,80000000.0,13500000.0,Oct 05 1956,Warner Bros.,Original Screenplay,Drama,90.0,2.5,1677.0
0.0,0.0,340000.0,Apr 13 1957,United Artists,Original Screenplay,Drama,55.0,8.9,119101.0
57141459.0,168841459.0,29000000.0,Dec 27 1995,Universal,Based on Short Film,Drama,55.0,8.1,169858.0
0.0,0.0,4000000.0,Nov 09 1972,Sony/Columbia,Based on Play,Drama,57.0,7.0,4099.0
34175000.0,94875000.0,32000000.0,Dec 14 1979,Universal,Original Screenplay,Comedy,33.0,5.6,13364.0
18435.0,18435.0,1900000.0,Jun 29 2007,Strand,Original Screenplay,Thriller/Suspense,55.0,6.3,365.0
56700000.0,68700000.0,10500000.0,Apr 02 1968,Warner Bros.,Original Screenplay,Drama,96.0,8.4,160342.0
28200000.0,28200000.0,5000000.0,Dec 23 1954,Walt Disney Pictures,Based on Book/Short Story,Adventure,92.0,6.4,15106.0
8000000.0,8000000.0,200000.0,Dec 24 2016,Warner Bros.,Based on Book/Short Story,Adventure,55.0,6.4,15106.0
72544.0,72544.0,2000000.0,Apr 15 1998,October Films,Original Screenplay,Comedy,55.0,6.9,1417.0
985341.0,1027228.0,500000.0,Jul 30 1999,Sony Pictures Classics,Original Screenplay,Drama,77.0,7.1,2810.0
0.0,22139590.0,20000000.0,Apr 03 2008,Warner Bros.,Based on Book/Short Story,Action,55.0,6.4,15106.0
167780960.0,167780960.0,15000000.0,Nov 25 1987,Walt Disney Pictures,Remake,Comedy,55.0,5.7,16764.0
