dataset,raw_rows,raw_cols,processed_rows,processed_cols
anscombe.csv,44,3,44,3
barley.csv,120,4,120,4
birdstrikes.csv,10000,14,9938,10
burtin.csv,16,6,16,5
cars.csv,406,9,406,9
co2-concentration.csv,741,3,741,3
crimea.csv,24,5,24,5
disasters.csv,803,3,803,3
driving.csv,55,4,55,4
flights-2k.csv,2000,5,2000,5
gapminder.csv,682,6,682,6
gapminder-health-income.csv,187,5,187,4
github.csv,955,2,955,2
global-temp.csv,144,2,144,2
iowa-electricity.csv,51,3,51,3
jobs.csv,7650,5,7650,5
la-riots.csv,63,11,63,10
movies.csv,3201,16,3201,10
obesity.csv,50,3,50,2
ohlc.csv,44,7,44,7
penguins.csv,344,7,344,7
population.csv,570,4,570,4
seattle-weather.csv,1461,6,1461,6
sp500.csv,123,2,123,2
stocks.csv,560,3,560,3
unemployment-across-industries.csv,1708,6,1708,6
weather.csv,2922,7,2922,7
