date,delay,distance,origin,destination
2001-01-01 06:55:00,-19,1797,LAX,BNA
2001-01-01 08:47:00,0,1609,SJC,IAH
2001-01-01 09:24:00,-4,1117,IAH,PIT
2001-01-01 10:18:00,-3,102,HNL,LIH
2001-01-01 11:45:00,20,920,MIA,DCA
2001-01-01 12:02:00,-12,88,CAE,CLT
2001-01-01 14:13:00,-1,495,BWI,SDF
2001-01-01 14:25:00,0,121,OGG,ITO
2001-01-01 14:35:00,7,1900,LAX,CVG
2001-01-01 16:46:00,23,1121,DFW,MIA
2001-01-01 18:40:00,33,325,OAK,BUR
2001-01-01 18:50:00,-9,907,BNA,PVD
2001-01-01 19:31:00,51,847,SFO,EGE
2001-01-01 19:34:00,27,932,CVG,FLL
2001-01-01 19:43:00,-12,1062,CLE,FLL
2001-01-01 22:40:00,-9,1188,DFW,ONT
2001-01-02 00:27:00,24,2399,HNL,SFO
2001-01-02 06:20:00,6,129,SEA,PDX
2001-01-02 06:38:00,10,862,DEN,IAH
2001-01-02 07:05:00,0,390,DEN,SLC
2001-01-02 07:16:00,-7,606,ATL,ORD
2001-01-02 08:05:00,-6,1235,DFW,LAX
2001-01-02 08:35:00,0,362,OAK,ONT
2001-01-02 09:06:00,-9,1839,CLE,SJU
2001-01-02 09:19:00,-26,1671,DTW,PHX
2001-01-02 09:23:00,-36,1522,MSP,SNA
2001-01-02 09:27:00,-11,229,IAD,LGA
2001-01-02 10:23:00,34,1521,LAS,MDW
2001-01-02 10:50:00,26,303,MSY,HOU
2001-01-02 11:11:00,-5,282,MSP,OMA
2001-01-02 11:31:00,14,888,DEN,ORD
2001-01-02 12:30:00,0,829,TPA,CMH
2001-01-02 13:24:00,16,336,PHL,BTV
2001-01-02 13:30:00,14,521,PSC,SLC
2001-01-02 13:31:00,4,224,IAH,DFW
2001-01-02 13:34:00,30,1205,SNA,DFW
2001-01-02 13:41:00,1,1671,PHX,DTW
2001-01-02 14:01:00,29,449,MSP,MOT
2001-01-02 14:23:00,1,259,STL,DSM
2001-01-02 15:04:00,59,1700,ONT,ORD
2001-01-02 15:36:00,39,228,SJT,DFW
2001-01-02 16:44:00,57,862,DEN,IAH
2001-01-02 16:51:00,-49,1830,ORD,SJC
2001-01-02 18:27:00,9,235,DTW,ORD
2001-01-02 19:10:00,5,337,SFO,LAX
2001-01-02 21:05:00,-2,447,SFO,SAN
2001-01-02 21:23:00,28,296,DAL,LIT
2001-01-03 07:18:00,5,732,ATL,DFW
2001-01-03 08:03:00,-8,190,DFW,AUS
2001-01-03 08:03:00,-17,1088,PHL,MSY
2001-01-03 08:35:00,20,422,RNO,SLC
2001-01-03 09:27:00,-6,229,LGA,IAD
2001-01-03 10:46:00,-4,116,CMH,CVG
2001-01-03 11:12:00,1,1709,MIA,DEN
2001-01-03 11:48:00,6,745,EWR,ATL
2001-01-03 12:19:00,-27,1192,DCA,DFW
2001-01-03 12:19:00,32,696,SEA,SJC
2001-01-03 12:27:00,-4,199,EWR,DCA
2001-01-03 12:34:00,14,888,ORD,DEN
2001-01-03 13:45:00,70,1123,DEN,DTW
2001-01-03 14:55:00,3,1008,MSP,EWR
2001-01-03 15:29:00,-16,413,IAD,BOS
2001-01-03 15:40:00,45,1182,FLL,ORD
2001-01-03 15:44:00,20,395,MDW,BNA
2001-01-03 16:09:00,8,719,EWR,ORD
2001-01-03 16:46:00,37,2139,ATL,SFO
2001-01-03 17:04:00,140,726,MSP,PIT
2001-01-03 18:16:00,-2,2401,PHL,LAX
2001-01-03 19:19:00,-13,461,GSO,LGA
2001-01-03 19:35:00,6,3784,HNL,DFW
2001-01-03 20:03:00,-3,888,ORD,DEN
2001-01-03 21:01:00,5,551,DFW,ELP
2001-01-03 23:23:00,27,1591,IND,LAS
2001-01-04 06:03:00,-12,488,ALB,DTW
2001-01-04 06:04:00,3,256,LAS,PHX
2001-01-04 06:30:00,-4,363,PHL,CLE
2001-01-04 06:40:00,-10,833,OKC,PHX
2001-01-04 07:00:00,0,303,MSY,HOU
2001-01-04 07:28:00,-36,1062,RDU,DFW
