worker,step,episodes,return,charts,loss,policy_loss,value_loss,entropy
1,1,0,0.4406,1,0.0643,0.7885,-0.3716,8.2651
1,5000,111,0.8148,1,2.1476,1.5554,0.2071,7.7032
2,10000,215,0.658,1,0.8779,0.0657,-0.1166,7.537
3,15000,308,0.7824,2,0.5378,0.4365,0.2407,7.9059
1,20000,440,0.6544,1,-0.4454,-0.3132,-0.4788,7.9318
2,25000,545,0.8851,3,1.9424,1.8984,0.9136,7.9809
3,30000,642,0.9268,1,1.4688,0.8493,0.5264,7.5817
2,35000,741,1.1229,3,1.6776,1.0849,0.5049,8.2789
3,40000,847,1.1559,3,-0.3811,-0.1509,0.0904,8.2407
3,45000,948,0.9349,3,2.2535,1.5191,0.7396,7.8249
3,50000,1053,1.1069,3,-3.3302,-2.2455,-0.632,7.6725
1,55000,1171,1.1327,3,1.1911,0.8734,0.955,6.9924
2,60000,1286,1.1125,3,2.2784,1.9248,1.2689,6.9044
2,65000,1379,1.1752,2,3.9247,3.2298,0.9443,7.6009
2,70000,1494,1.0686,3,2.2963,1.2321,0.918,7.051
3,75000,1593,1.4086,3,-1.375,-1.4709,-0.3548,7.478
0,80000,1719,1.1821,2,-0.5864,-0.8719,-0.3504,7.2047
2,85000,1830,1.4166,4,1.8125,1.0191,0.2732,7.286
1,90000,1941,1.2546,4,-1.1623,-0.6472,0.1474,7.7989
0,95000,2039,1.6882,4,0.8136,0.2158,0.1436,6.811
2,100000,2163,1.4607,3,-1.4019,-1.1812,-0.5509,6.8046
2,105000,2271,1.2989,4,1.7732,1.0867,0.8316,6.8516
1,110000,2379,1.2371,3,1.4816,1.1771,0.8262,7.0568
1,115000,2484,1.4528,4,-0.0277,0.1867,0.1051,7.2225
0,120000,2591,1.4604,3,2.2882,1.8271,1.1105,6.6613
2,125000,2710,1.4472,4,2.1954,1.654,0.9649,7.3999
1,130000,2818,1.4584,4,3.3634,2.2597,0.9158,6.9593
1,135000,2930,1.3696,4,5.2743,3.7994,1.7656,7.1364
2,140000,3058,1.4135,3,1.8815,0.829,0.3785,6.494
2,145000,3158,1.5017,4,-3.6375,-2.368,-1.0373,6.8693
3,150000,3275,1.3191,3,-3.8216,-2.9239,-0.764,6.9544
3,155000,3369,1.5377,4,-1.2089,-0.4144,-0.119,6.317
2,160000,3474,1.6242,4,0.1514,0.2593,0.1189,6.3775
3,165000,3609,1.4235,3,-0.0086,0.111,0.177,6.3096
1,170000,3727,1.4045,4,-2.779,-2.5724,-0.8811,6.9917
1,175000,3847,1.5601,4,1.7906,1.1187,0.1918,6.8392
0,180000,3947,1.4377,5,2.0405,1.3137,0.5259,6.6955
0,185000,4048,1.5533,4,-4.7887,-2.9946,-1.5037,6.5348
2,190000,4159,1.7498,4,-0.333,0.0642,-0.2871,6.6765
2,195000,4297,1.4129,4,5.1279,3.5313,1.6545,6.4865
1,200000,4402,1.6739,5,1.8037,0.9498,0.4581,6.1291
2,205000,4501,1.7781,4,0.7317,0.2147,-0.4021,6.1223
2,210000,4607,1.6345,4,0.3332,0.0818,0.1516,6.2131
0,215000,4724,1.3062,4,3.0821,2.0356,0.7228,6.013
0,220000,4828,1.7552,5,5.4943,3.8196,1.3933,5.9928
3,225000,4927,1.5311,3,3.074,2.7858,1.3132,6.0046
2,230000,5024,1.6995,5,-2.4579,-1.6579,-1.2908,6.2069
2,235000,5140,1.7805,4,2.4242,1.2994,0.7766,6.6917
1,240000,5238,1.6284,4,0.9182,0.8244,-0.0329,5.8744
2,245000,5334,1.5482,4,3.3191,2.2765,1.0085,5.9141
3,250000,5448,1.5817,3,-1.8478,-1.3135,-0.8664,5.7676
3,255000,5578,1.664,5,-2.7898,-1.5119,-1.0309,5.7138
0,260000,5693,1.535,4,-1.1447,-1.1372,-0.143,6.3666
0,265000,5794,1.6312,4,1.2629,1.3095,0.6886,5.8719
0,270000,5907,1.4024,3,3.3549,1.908,0.4958,5.5107
2,275000,6008,1.6064,3,-1.3146,-1.1323,-0.4482,5.9715
3,280000,6125,1.8385,3,2.4509,1.7348,0.9434,5.5272
0,285000,6238,1.637,4,1.2339,0.944,-0.2404,5.4125
1,290000,6355,1.6458,4,2.1113,1.201,0.2845,5.3924
2,295000,6486,1.8394,5,1.8541,1.2821,0.4719,5.9085
3,300000,6597,1.5228,3,1.2201,0.9007,0.5232,5.4637
0,305000,6712,1.7645,5,0.9654,0.7517,0.0522,5.6331
1,310000,6826,1.5281,5,1.1069,1.2582,0.3123,5.3079
2,315000,6943,1.8766,5,-2.3676,-1.4556,-0.5242,5.5955
