worker,step,episodes,return,charts,loss,policy_loss,value_loss,entropy
2,1,0,0.1544,1,4709.2795,3296.1862,1412.9286,8.1721
0,5000,126,0.0,0,2364.2825,1655.138,709.9717,7.9993
1,10000,234,0.0,0,100.0,69.9925,29.5655,7.805
0,15000,349,0.0,0,100.0,70.304,29.9731,7.5316
2,20000,473,0.0918,1,1575.9452,1102.6247,473.2385,6.963
3,25000,590,0.0,0,1360.7386,952.6441,407.955,7.8588
0,30000,705,0.0363,0,3362.6169,2353.7641,1009.0652,7.2555
0,35000,816,0.0,0,1244.5033,871.3678,373.5195,7.5005
2,40000,911,0.3812,1,372.8503,261.1551,111.8413,7.5077
0,45000,1014,0.3425,1,923.495,646.1628,277.1594,7.0966
2,50000,1119,0.5266,2,6385.2093,4469.8209,1915.5133,7.6633
0,55000,1228,0.0,0,3321.2697,2324.867,996.2875,7.739
0,60000,1358,0.3971,1,522.425,365.7606,156.376,7.8703
3,65000,1454,0.0,0,507.5781,355.669,152.2872,8.04
3,70000,1565,0.0,0,7317.7509,5122.1816,2195.1264,7.3556
1,75000,1684,0.4195,1,3158.1042,2210.9768,947.425,7.4135
3,80000,1805,0.0,0,100.0,69.7156,29.715,7.3151
0,85000,1910,0.0,0,2032.1013,1422.9061,610.0656,7.5699
2,90000,2009,0.4881,1,1202.1924,841.5978,360.4186,6.7553
0,95000,2102,0.0791,1,1840.0116,1288.068,551.7438,7.4236
1,100000,2229,0.0,0,1.042,0.7706,0.784,7.4585
0,105000,2346,0.0,0,-1.6628,-0.9765,-0.8796,6.8119
1,110000,2447,0.332,1,-1.4348,-1.049,-0.3181,6.9114
3,115000,2551,0.4123,1,0.8432,0.4751,0.6323,7.0966
0,120000,2665,0.3258,1,-0.6024,-0.8907,-0.3913,7.2689
3,125000,2762,0.3899,1,0.83,0.715,0.217,7.4219
0,130000,2878,0.4392,2,-2.0528,-1.4352,-0.7427,6.9508
2,135000,2974,0.6122,1,1.0381,0.6541,0.5584,6.8031
2,140000,3077,0.0702,1,-1.6921,-1.7385,-0.3615,6.6164
3,145000,3184,0.7651,1,0.0326,0.2443,-0.1166,6.8858
3,150000,3282,0.7435,1,1.4781,0.6569,0.2577,7.0719
0,155000,3405,0.6656,2,-1.9357,-1.2768,-0.4828,6.5426
0,160000,3499,0.3597,1,-0.3027,-0.1335,0.0607,6.6061
1,165000,3615,0.349,1,-2.4,-1.8696,-0.8006,6.2754
2,170000,3722,0.7223,1,0.9088,0.6515,0.2824,6.3473
1,175000,3832,0.5197,1,1.1879,1.1946,0.2042,6.5975
1,180000,3942,0.4306,1,5.2089,3.7846,1.5513,6.7732
2,185000,4046,0.0618,1,2.8294,2.3865,1.1846,6.0647
0,190000,4166,0.3544,1,-0.9271,0.1216,-0.233,6.6826
3,195000,4279,0.2543,1,-0.2007,0.1755,-0.3296,6.4512
1,200000,4388,0.2489,1,-2.3403,-1.2663,-0.9721,6.514
3,205000,4511,0.1648,1,0.6064,0.108,0.1405,6.3974
1,210000,4627,0.3842,1,1.3245,0.2741,-0.0328,6.8747
1,215000,4735,0.3619,1,-3.6525,-2.7362,-1.5742,6.1463
2,220000,4848,0.4516,1,4.9781,3.674,1.5139,6.2452
0,225000,4939,0.2457,1,-0.3357,0.322,0.0162,6.0313
2,230000,5064,0.1267,1,2.8428,1.5112,0.7662,5.9003
0,235000,5183,0.1185,1,2.1291,1.5591,0.9057,6.3725
0,240000,5302,0.5502,1,-1.9359,-1.1096,-0.734,6.0041
1,245000,5407,0.5806,2,-1.321,-1.0733,-0.244,6.1799
1,250000,5530,0.814,2,1.4731,0.6208,-0.0074,6.3212
0,255000,5651,0.7632,2,-0.4266,-0.1336,0.3191,5.9467
2,260000,5764,0.7109,1,0.5907,-0.2942,0.1073,5.6213
2,265000,5874,0.7843,1,-0.2163,0.357,-0.4765,5.6041
2,270000,5971,0.5566,1,0.7755,0.4757,0.3485,5.6902
2,275000,6077,0.0902,1,0.2582,0.7078,-0.1828,5.8996
2,280000,6193,0.0307,0,0.882,0.6843,-0.2915,5.7126
0,285000,6291,0.4693,1,2.5261,1.9232,1.0231,5.6735
2,290000,6405,0.1344,1,-0.1877,-0.5229,-0.6373,5.8941
1,295000,6521,0.6235,1,-0.9732,-0.4258,-0.6107,5.7923
3,300000,6612,0.4703,1,2.7103,2.3201,1.0118,5.8327
3,305000,6745,0.3842,1,0.349,0.2038,0.1281,5.2214
3,310000,6857,0.5608,1,-2.7158,-2.0102,-0.6623,5.964
3,315000,6964,0.0078,0,0.02,-0.2626,0.1539,5.2406
2,320000,7067,0.3199,2,2.1683,2.1487,0.569,5.2979
2,325000,7193,0.2865,1,-3.7941,-2.4719,-0.8858,5.4128
1,330000,7301,0.0,0,2.431,1.4478,1.2215,5.1586
1,335000,7397,0.9955,1,-1.817,-1.2501,-0.4915,5.3295
2,340000,7503,0.0,0,-1.1053,-1.085,-0.3119,5.1482
2,345000,7620,0.7465,1,1.2648,1.3526,-0.1728,5.346
0,350000,7719,0.6594,2,-0.812,-0.6325,-0.2938,5.365
1,355000,7839,0.4115,1,3.234,2.2653,1.0158,5.4001
3,360000,7961,0.4185,1,-0.2232,-0.7316,-0.1223,5.2087
1,365000,8070,0.9162,2,4.5354,3.1619,1.2814,4.6214
0,370000,8170,0.1187,1,2.4838,1.6312,1.1657,5.1813
0,375000,8277,0.382,1,1.4756,0.6412,0.2674,5.2641
2,380000,8376,0.9986,2,1.0773,0.6382,0.442,4.5402
1,385000,8495,0.3293,2,-0.8052,-0.4503,-0.5509,4.798
3,390000,8606,0.314,1,-3.122,-2.2565,-0.3557,4.0916
1,395000,8702,0.3518,1,-1.732,-1.2041,-0.8749,5.0764
2,400000,8809,0.8463,2,-0.0365,-0.0094,0.2985,4.0495
2,405000,8927,0.3022,1,1.4221,1.0983,0.6105,4.3498
3,410000,9037,0.9951,3,-1.0872,-0.8675,-0.6071,5.0075
1,415000,9135,0.654,2,-2.1612,-1.587,-0.6949,5.1472
1,420000,9247,0.0034,0,4.8364,3.5333,1.1121,4.5032
3,425000,9361,0.4265,1,-0.6738,-0.3822,-0.0249,4.3692
0,430000,9458,0.5973,1,2.5553,1.3813,0.7792,4.8316
0,435000,9574,0.7071,3,0.0453,0.0116,-0.1259,3.739
1,440000,9708,0.3184,1,2.5149,2.0377,0.8181,4.5768
0,445000,9819,0.2064,1,1.9674,1.6569,0.978,4.5666
1,450000,9898,0.3033,1,-0.105,-0.7588,0.1601,4.3554
3,455000,10000,0.0,0,0.121,-0.1522,0.3207,4.5598
3,460000,10122,0.0,0,-0.6054,0.0456,0.495,4.4029
1,465000,10230,0.0,0,-0.4746,-0.5386,-0.2028,4.3983
3,470000,10346,0.2137,1,-0.561,-0.6419,-0.2168,4.1301
0,475000,10467,0.8382,2,2.2652,1.1722,1.1004,3.8055
2,480000,10575,0.2462,1,3.0667,1.9216,0.6849,3.9267
1,485000,10695,0.5708,2,-2.2256,-1.5627,-0.9061,4.401
3,490000,10809,0.1567,1,0.284,0.4487,-0.2338,4.3534
3,495000,10918,0.6101,1,2.5056,1.8801,0.7513,4.2469
2,500000,11012,0.6356,1,-2.0523,-1.2695,-0.0359,4.2189
