worker,step,episodes,return,charts,loss,policy_loss,value_loss,entropy
2,1,0,0.4894,1,2.9042,1.912,0.6484,7.8102
2,5000,97,0.9269,2,3.7689,2.8481,0.9053,7.9667
3,10000,214,0.9281,2,0.0037,-0.586,0.2821,8.0661
1,15000,324,0.7021,2,6.2414,4.8217,1.9012,7.9822
2,20000,441,0.7752,2,-3.8155,-2.9337,-1.3927,7.9983
3,25000,547,0.6968,1,-0.3511,-0.7066,-0.3838,7.5862
2,30000,677,0.912,2,4.9532,2.7854,1.6969,7.7708
3,35000,790,0.7201,2,2.2311,1.5547,0.5331,7.792
1,40000,898,0.7391,3,1.399,0.5993,0.2766,7.622
2,45000,998,0.7182,1,-1.0311,-0.7202,-0.6252,7.8594
3,50000,1120,0.9073,2,-0.2889,-0.3511,0.1407,7.6748
1,55000,1214,0.7123,1,0.6786,0.4493,0.0466,7.7346
0,60000,1311,0.7635,2,1.7195,1.7777,-0.21,7.6442
2,65000,1419,0.9124,1,2.9089,2.1467,1.4026,7.8052
0,70000,1536,0.8957,2,0.0436,-0.0353,-0.3094,7.2508
2,75000,1648,0.8425,2,-0.7414,-0.6716,-0.7064,6.8645
2,80000,1753,0.9024,2,-0.8851,-0.1793,-0.2208,7.8144
3,85000,1856,1.1086,3,1.4054,1.3727,0.2368,8.2594
2,90000,1962,0.9443,3,-0.6015,-0.2103,-0.244,7.5127
0,95000,2087,0.8504,2,-0.0503,-0.4176,-0.0704,7.0363
1,100000,2209,0.9626,3,-1.4819,-0.4725,-0.3476,7.4179
2,105000,2305,1.2671,3,-0.8632,-0.6249,-0.7789,7.1959
0,110000,2413,1.1559,2,0.7446,-0.2501,0.1601,6.8581
1,115000,2514,1.1047,3,1.4353,0.74,0.5522,6.5232
2,120000,2624,1.0838,3,2.5584,2.1286,0.6923,6.9765
3,125000,2742,1.1008,3,-0.9849,-1.2218,-0.27,7.0388
3,130000,2852,0.9448,2,-1.1904,-0.5852,-0.6103,6.3915
1,135000,2936,1.1339,2,2.762,1.5776,0.2866,6.9351
2,140000,3029,1.274,4,0.8466,0.8999,0.1943,6.2527
2,145000,3143,1.0517,3,-1.3788,-0.7436,-0.6198,7.2337
3,150000,3262,1.1714,4,-1.8519,-1.741,-0.3291,6.5282
0,155000,3367,1.2552,3,-1.4745,-1.0838,-0.1058,6.4361
2,160000,3482,1.152,3,-2.5195,-1.7213,-0.808,6.138
3,165000,3583,1.1856,4,-1.9792,-1.4651,-0.0867,6.5276
0,170000,3696,1.0909,2,-3.4539,-2.4075,-1.1332,6.3869
1,175000,3801,1.1611,3,-2.3844,-2.0932,-0.8009,6.4345
2,180000,3928,1.1815,3,-1.705,-1.2537,-0.348,7.2848
0,185000,4021,0.8141,3,-0.4335,-0.6028,-0.3215,6.1959
3,190000,4106,1.0009,2,1.3842,0.8497,0.0663,6.7171
3,195000,4227,1.1204,2,2.2473,1.7871,0.752,6.5146
0,200000,4345,1.0092,2,-0.0762,0.233,-0.0565,6.3688
1,205000,4464,1.0802,2,0.1461,-0.2373,0.1756,6.5184
2,210000,4584,1.0293,2,-1.0312,-0.8932,-0.5993,6.2115
1,215000,4700,1.0138,1,3.5907,1.937,1.1109,5.5659
2,220000,4811,1.047,2,0.7934,0.5841,0.6116,6.1056
1,225000,4922,0.9226,2,2.9914,2.1234,0.3948,6.1937
0,230000,5028,0.9733,2,0.5733,0.7636,0.3309,6.232
1,235000,5139,0.9206,3,-0.7879,-0.3835,-0.2107,5.2302
3,240000,5252,0.9877,2,-1.8997,-1.3436,0.003,5.8857
1,245000,5359,0.8597,3,-0.3316,-0.1104,-0.3977,6.3993
1,250000,5484,0.8321,2,0.7817,0.7148,0.6429,6.2299
0,255000,5580,0.8995,1,0.79,0.6771,0.4876,6.0656
3,260000,5710,1.1528,3,1.9443,1.4596,0.3543,6.0312
2,265000,5819,0.6669,2,-1.0774,-0.3004,-0.4104,5.7329
1,270000,5935,0.7515,2,0.9418,1.0706,0.2295,6.0622
2,275000,6035,0.7268,2,2.0327,1.3483,0.4412,5.6615
0,280000,6146,0.7561,1,2.5802,1.9668,1.2155,5.9079
1,285000,6259,1.0323,3,1.3908,0.6484,0.4559,5.4598
1,290000,6375,0.92,2,1.3689,0.6406,0.5159,5.5611
1,295000,6489,0.8373,1,-1.2465,-1.0027,-0.0945,5.8673
1,300000,6591,0.9368,3,-1.2867,-0.889,-0.5304,5.801
3,305000,6684,0.7791,1,1.9923,1.7434,0.6927,5.4167
3,310000,6791,1.0637,2,-0.7081,0.1508,-0.4757,5.3149
2,315000,6909,0.8885,2,3.2539,2.3518,1.039,5.4387
2,320000,7025,0.842,2,-0.2639,-0.5393,-0.2589,5.4841
2,325000,7141,0.8657,2,3.4943,2.1122,1.1341,5.0611
1,330000,7255,0.8176,2,3.5719,2.2525,0.9581,5.4841
2,335000,7373,0.8163,2,4.6098,3.1396,1.5021,4.8041
0,340000,7486,0.7407,1,-1.1614,-0.8385,-0.9092,5.3617
2,345000,7594,1.0327,2,0.6362,0.4416,0.0351,5.8038
2,350000,7717,0.7456,2,-0.442,-0.004,0.0836,5.325
2,355000,7831,0.8246,2,3.4477,1.9999,0.9125,5.2
0,360000,7942,0.8962,3,1.2946,1.0065,0.7602,4.8772
1,365000,8055,0.7934,1,2.0032,1.332,0.9457,5.1467
3,370000,8157,0.9727,2,1.7031,0.8009,0.6121,4.7239
2,375000,8281,0.62,1,2.4714,1.5125,1.2304,5.214
3,380000,8381,0.7405,3,2.635,1.6558,1.0011,4.4665
1,385000,8502,0.9538,2,2.4226,1.6585,0.6541,4.7687
1,390000,8614,0.8327,3,-1.3934,-0.929,-0.5805,4.9273
0,395000,8708,0.8671,4,2.5468,2.5005,0.6077,4.4741
3,400000,8807,0.8267,2,2.508,0.9478,0.5423,5.0422
3,405000,8916,0.8916,2,0.33,0.232,-0.0756,5.1629
3,410000,9006,0.8039,3,1.688,1.1877,0.3029,5.0028
3,415000,9109,0.7762,3,-1.7975,-1.0148,-0.7484,4.4185
0,420000,9208,0.8532,3,-0.98,-0.4429,-0.6349,5.016
2,425000,9324,0.9992,2,-0.6395,-0.441,-0.3733,4.6374
1,430000,9427,1.0696,3,-1.986,-1.1407,-0.6107,4.4138
0,435000,9561,0.9706,1,0.8788,1.0017,-0.0629,4.7622
3,440000,9684,0.6962,1,-1.0713,-0.8404,-0.8696,4.0889
2,445000,9795,0.856,2,2.704,1.8929,0.6792,4.4677
0,450000,9901,1.1222,3,-0.2616,0.0003,-0.3787,4.139
3,455000,10010,1.0481,3,-0.8773,-1.1044,0.0608,4.2326
2,460000,10127,0.8359,3,-0.413,-0.1273,0.119,4.4532
3,465000,10233,0.8643,3,2.5858,2.0006,1.1387,4.0558
3,470000,10353,0.8579,1,0.3555,0.2214,0.0429,4.4655
2,475000,10476,0.9213,2,-0.8253,-0.4859,-0.2976,3.9863
2,480000,10576,0.8533,2,1.0653,1.264,0.6134,4.4437
0,485000,10689,0.7522,2,1.0257,0.9937,0.2166,4.4063
1,490000,10803,0.9059,3,2.2361,1.7904,0.8894,4.2704
3,495000,10915,0.8611,2,1.9089,1.1943,0.728,4.1308
3,500000,11027,0.8654,2,2.0495,1.4487,0.1512,4.2064
